"a10","a15","a20","a25","a30","a35","a40","a45","a50","a55","a60","a65","a70","a75","a80","a85","a90","a95","a100"
6,27,62,74,87,104,125,109,135,104,112,101,87,74,53,24,15,2,2
5,32,51,66,77,93,112,101,124,97,86,81,90,62,56,32,15,2,0
5,26,83,92,99,133,143,127,142,115,117,138,126,93,59,43,10,3,1
9,29,76,62,102,113,125,146,138,105,121,118,111,81,49,25,12,4,1
6,27,76,88,81,104,153,128,134,137,137,144,124,61,76,37,18,2,0
5,31,65,89,83,80,121,136,102,100,110,137,90,101,74,45,11,2,1
5,24,60,71,95,76,113,109,117,123,114,110,108,64,78,36,16,7,1
10,25,66,71,93,82,119,103,113,103,92,106,98,84,62,37,12,2,0
5,25,51,63,73,94,105,111,120,85,107,115,94,82,67,34,10,2,0
1,19,62,82,88,96,132,126,122,126,104,100,111,80,54,39,12,4,0
3,24,65,85,82,102,106,102,111,125,88,117,86,68,68,34,19,0,0
1,20,63,67,74,86,106,112,116,115,105,118,89,63,59,38,7,4,2
6,35,63,71,91,92,107,102,115,112,98,92,69,61,37,24,9,2,0
4,13,50,69,70,86,103,112,109,103,104,88,71,63,45,23,12,2,0
1,18,68,81,93,100,149,127,135,130,111,126,97,73,55,34,15,3,0
4,30,73,79,68,93,103,124,106,103,89,103,80,65,63,31,6,5,0
4,27,60,89,91,87,114,144,123,96,100,148,83,90,63,29,19,4,0
0,23,72,73,88,78,103,128,134,114,87,103,81,74,45,31,15,2,0
5,20,69,72,83,95,99,111,107,91,76,112,79,66,65,43,16,1,2
8,25,64,62,64,79,120,108,109,79,80,94,76,77,51,38,18,2,0
3,30,52,76,78,86,83,111,96,93,91,96,72,81,69,29,14,1,1
2,32,64,72,75,75,121,112,110,111,84,89,82,80,62,44,14,1,0
4,27,48,62,65,84,91,102,100,100,94,94,78,58,50,33,15,3,2
1,21,62,70,66,73,112,114,105,87,90,91,73,61,53,28,10,0,0
2,32,66,59,73,87,110,109,100,115,70,99,86,74,45,24,9,3,1
7,27,63,67,77,69,85,112,87,108,67,93,67,53,53,27,18,2,0
5,24,78,60,84,78,95,133,120,111,113,123,82,77,56,38,8,4,0
5,31,82,67,74,85,110,127,102,103,96,104,74,83,59,30,10,2,1
4,20,69,78,81,114,105,115,142,103,95,138,91,82,60,32,12,4,1
3,30,55,64,78,92,116,117,117,93,90,105,93,70,67,44,14,1,0
7,22,55,58,81,81,99,117,117,99,78,100,79,68,58,45,22,6,0
7,28,54,69,79,105,101,114,105,96,78,104,90,62,70,43,18,5,0
5,43,73,57,87,85,111,125,125,89,98,102,73,68,75,31,16,3,1
3,26,57,73,79,84,85,115,100,82,68,92,71,71,49,25,12,0,0
3,25,60,54,84,71,95,104,94,93,71,83,66,77,47,29,11,3,0
7,28,62,48,66,87,86,86,107,107,84,78,62,45,43,36,7,2,0
6,27,56,53,77,79,80,88,112,76,71,86,79,56,34,29,17,1,0
3,22,54,54,74,96,93,94,106,94,61,72,74,71,60,36,9,2,1
5,19,91,68,92,75,110,133,156,113,100,104,82,94,70,38,12,4,0
4,31,54,51,82,86,91,104,101,95,88,98,80,86,55,32,10,3,1
5,37,52,70,71,77,110,118,117,102,92,90,81,74,60,36,15,2,0
4,37,70,73,65,86,103,104,98,84,76,83,60,73,72,37,19,2,1
8,19,66,60,65,66,96,117,100,92,79,105,87,77,62,23,8,1,2
9,23,64,62,72,77,80,93,103,81,81,81,72,75,64,46,12,2,0
7,27,58,66,85,80,85,118,111,112,69,84,94,75,52,36,9,1,0
4,17,70,73,91,79,108,118,103,96,95,85,89,68,61,42,10,2,0
7,16,53,67,73,78,102,96,84,98,70,74,98,73,48,27,11,1,0
4,32,54,64,74,87,73,111,128,99,98,73,78,61,55,39,13,4,0
4,30,48,80,92,87,106,111,100,82,82,70,73,52,48,24,13,3,0
2,41,73,43,67,66,76,126,105,82,81,82,80,60,37,41,13,3,0
5,23,79,68,80,88,103,120,127,123,102,94,81,83,49,48,13,0,0
9,38,68,65,77,70,78,119,111,103,85,89,83,73,74,28,19,3,0
3,39,62,52,89,102,115,107,133,91,96,89,117,65,53,32,23,1,0
4,30,68,53,61,79,96,114,115,99,61,81,69,68,63,35,11,3,0
4,24,68,72,67,101,96,98,105,101,100,90,79,76,46,46,20,0,0
5,32,66,54,66,75,91,101,96,95,72,74,75,85,56,37,18,4,0
6,42,61,56,70,75,82,119,82,115,80,83,81,81,51,38,16,3,0
0,38,56,37,57,60,102,86,95,106,78,70,98,69,56,35,14,1,0
3,22,48,53,65,71,85,109,104,89,85,70,80,73,57,27,10,2,0
2,26,49,50,74,87,96,107,92,76,79,70,81,69,47,22,12,2,0
4,32,51,71,69,65,102,92,82,99,87,80,79,61,54,25,11,4,1
4,25,54,65,54,74,75,102,99,72,74,69,74,61,43,26,7,1,0
3,20,68,58,81,83,119,121,89,117,90,86,90,71,56,32,11,3,0
5,31,66,57,50,56,71,75,88,98,91,67,79,57,56,35,20,3,0
4,29,63,50,79,93,75,107,91,61,69,63,82,76,51,35,20,4,0
10,32,57,52,65,71,55,104,94,74,77,66,95,61,41,31,22,4,1
6,32,78,74,59,72,119,94,89,85,71,78,101,69,64,45,20,2,1
9,40,88,76,74,79,104,94,95,96,80,64,74,70,67,49,15,2,1
7,48,103,72,72,78,84,93,110,100,60,71,95,58,70,49,17,1,2
5,46,72,70,82,98,109,154,127,108,91,69,86,81,45,51,27,3,0
4,39,63,78,90,78,102,108,119,100,74,72,98,74,62,37,12,3,0
3,23,66,64,83,85,113,117,112,95,93,70,66,60,56,34,14,4,0
4,45,72,79,66,72,110,99,100,96,75,53,70,54,47,33,12,2,1
3,28,77,74,70,80,76,112,84,85,65,74,85,63,46,40,12,6,1
6,29,75,76,83,90,105,153,126,103,94,75,80,74,47,39,10,3,2
6,37,83,72,79,97,88,116,105,98,80,80,78,71,45,38,10,5,1
2,43,74,73,75,74,86,120,120,95,89,78,93,66,51,31,17,5,0
4,28,70,53,75,84,94,137,127,96,75,61,85,69,52,49,18,6,0
6,25,73,75,76,83,87,94,110,84,67,65,97,70,57,39,19,4,0
8,25,61,62,58,90,89,107,95,91,46,59,78,65,59,46,15,2,1
5,34,67,56,52,69,75,105,114,88,76,55,93,78,51,41,18,4,0
5,21,64,80,66,68,81,114,96,91,64,78,97,70,54,31,11,5,0
6,38,56,56,59,50,83,103,96,102,60,64,80,56,55,43,12,1,2
5,27,48,72,66,70,100,112,102,110,67,49,86,62,50,26,16,4,0
